instance	cadical result	cadical time	cadical-chrono result	cadical-chrono time	cadical-trail result	cadical-trail time	cadical-trail-append result	cadical-trail-append time	cadical-trail-2levels-ahead	cadical-trail-2levels-ahead	par2	par-2 chrono	par-2 trail	par-2 append	par-2 1lvl
../SAT2019/sr2019/new/Bebel/toughsat_24bits_3.cnf	SAT	282.297	SAT	98.982	SAT	74.589	SAT	371.364	SAT	158.723	282.297	98.982	74.589	371.364	158.723
../SAT2018/Manthey/Problem14_label57_false-unreach-call.c.cnf	SAT	99.362	SAT	111.584	SAT	87.158	SAT	87.458	SAT	94.693	99.362	111.584	87.158	87.458	94.693
../SAT2018/Harder/ecarev-110-1031-23-40-8.cnf	SAT	1161.359	SAT	1142.653	SAT	1282.184	SAT	386.215	SAT	366.618	1161.359	1142.653	1282.184	386.215	366.618
../SAT2018/final/CRIL/T105.2.0.cnf	UNSAT	547.19	UNSAT	398.587	UNSAT	433.769	UNSAT	532.157	UNSAT	404.471	547.19	398.587	433.769	532.157	404.471
../SAT2019/sr2019/old/sokoban-p16.sas.ex.19-sc2016.cnf	-	5000.096	-	5000.069	-	5000.057	-	5007.189	-	5000.113	10000	10000	10000	10000	10000
../SAT2018/Chen/20180321_140833987_p_cnf_320_1120.cnf	-	5000.022	-	5000.004	-	5000.012	-	5000.015	-	5000.023	10000	10000	10000	10000	10000
../SAT2019/sr2019/new/Zhou/CarSequencing-90-01_c18.cnf	SAT	70.168	SAT	83.973	SAT	75.074	SAT	71.615	SAT	87.171	70.168	83.973	75.074	71.615	87.171
../SAT2019/sr2019/old/par32-1-c.shuffled-as.sat03-1531-sc2002.cnf	-	5000.007	-	5000.006	-	5000.009	-	5000.004	-	5000.023	10000	10000	10000	10000	10000
../SAT2019/sr2019/new/Chen/hcp_d22_22.cnf	-	5000.362	-	5000.037	-	5000.012	-	5000.014	-	5000.046	10000	10000	10000	10000	10000
../SAT2018/Biere/sdiv20prop.cnf	-	5000.006	-	5000.013	-	5000.053	-	5000.014	-	5000.036	10000	10000	10000	10000	10000
../SAT2019/sr2019/old/mod2c-3cage-unsat-10-3.sat05-2568.reshuffled-07-sc2007.cnf	UNSAT	975.592	UNSAT	2715.362	UNSAT	1800.578	UNSAT	1164.989	UNSAT	1577.776	975.592	2715.362	1800.578	1164.989	1577.776
../SAT2019/sr2019/new/Zaikin/Grain_no_init_ver1_out200_known_last105_0.cnf	SAT	964.103	SAT	326.561	SAT	596.265	SAT	520.392	SAT	823.811	964.103	326.561	596.265	520.392	823.811
../SAT2019/sr2019/old/mrpp_6x6#12_24-sc2013.cnf	SAT	9.501	SAT	12.852	SAT	29.208	SAT	31.259	SAT	31.413	9.501	12.852	29.208	31.259	31.413
../SAT2019/sr2019/old/20180326_095804936_p_cnf_320_1120-sc2018.cnf	SAT	22.629	SAT	321.441	SAT	298.988	SAT	201.285	SAT	247.433	22.629	321.441	298.988	201.285	247.433
../SAT2018/final/Johnson/sted5_0x0-70.cnf	-	5000.504	-	5000.007	-	5000.07	-	5000.053	-	5000.005	10000	10000	10000	10000	10000
../SAT2019/sr2019/old/hwb-n26-01-S1957858365.shuffled-as.sat03-1622-sc2002.cnf	UNSAT	1061.843	UNSAT	1542.701	UNSAT	1261.197	UNSAT	946.427	UNSAT	1179.026	1061.843	1542.701	1261.197	946.427	1179.026
../SAT2019/sr2019/old/rubikcube701-sc2017.cnf	UNSAT	3866.358	UNSAT	2800.024	UNSAT	3217.179	UNSAT	4378.846	UNSAT	3404.324	3866.358	2800.024	3217.179	4378.846	3404.324
../SAT2019/sr2019/old/slp-synthesis-aes-bottom18-sc2011.cnf	-	5000.028	-	5000.037	-	5000.458	-	5000.009	-	5000.02	10000	10000	10000	10000	10000
../SAT2018/Heule/CNP-5-1000.cnf	SAT	119.036	SAT	172.282	SAT	119.908	SAT	546.438	SAT	153.941	119.036	172.282	119.908	546.438	153.941
../SAT2018/Ehlers/ex067_10.cnf	SAT	357.721	SAT	340.926	SAT	148.56	SAT	98.427	SAT	106.518	357.721	340.926	148.56	98.427	106.518
../SAT2018/Heusser/satcoin-genesis-SAT-32.cnf	SAT	4.071	SAT	4.126	SAT	4.176	SAT	4.399	SAT	6.106	4.071	4.126	4.176	4.399	6.106
../SAT2018/Heule/CNP-5-1800.cnf	SAT	25.589	SAT	25.77	SAT	6.017	SAT	28.873	SAT	131.169	25.589	25.77	6.017	28.873	131.169
../SAT2018/Jingchao/e_rphp056_05.cnf	-	5000.011	-	5000.007	-	5000.012	-	5000.174	-	5000.014	10000	10000	10000	10000	10000
../SAT2018/final/Collatz/ax-d-4-7-5.cnf	SAT	681.378	SAT	2886.281	SAT	634.862	SAT	736.643	SAT	3258.213	681.378	2886.281	634.862	736.643	3258.213
../SAT2019/sr2019/new/Biere/eqsparcl12bpwtrc12.cnf	-	5000.005	-	5000.012	-	5000.005	-	5000.008	-	5000.044	10000	10000	10000	10000	10000
../SAT2019/sr2019/old/gus-md5-14-sc2009.cnf	-	5000.009	-	5000.018	-	5000.016	-	5000.03	-	5000.009	10000	10000	10000	10000	10000
../SAT2018/Ehlers/ex015_14.cnf	-	5000.038	-	5000.088	-	5000.216	UNSAT	4093.476	-	5000.016	10000	10000	10000	4093.476	10000
../SAT2019/sr2019/new/Skladanivskyy/sha1r17m145ABCD_p.cnf	SAT	2703.832	SAT	369.693	SAT	888.8	SAT	3641.924	SAT	52.97	2703.832	369.693	888.8	3641.924	52.97
../SAT2019/sr2019/old/partial-5-11-u-sc2007.cnf	-	5000.011	-	5000.012	-	5000.016	-	5000.007	-	5000.06	10000	10000	10000	10000	10000
../SAT2018/Heusser/satcoin-genesis-SAT-512.cnf	SAT	36.909	SAT	28.165	SAT	40.94	SAT	37.672	SAT	52.913	36.909	28.165	40.94	37.672	52.913
../SAT2018/Biere/sdiv40prop.cnf	-	5000.039	-	5000.026	-	5000.016	-	5000.027	-	5000.058	10000	10000	10000	10000	10000
../SAT2019/sr2019/old/003-sc2013.cnf	-	5000.066	-	5000.02	-	5000.13	SAT	1963.039	-	5000.029	10000	10000	10000	1963.039	10000
../SAT2018/final/Johnson/sted5_0x0-60.cnf	SAT	4173.097	-	5000.006	-	5000.006	-	5000.106	-	5000.024	4173.097	10000	10000	10000	10000
../SAT2018/final/Zhou/si2-b06m-m1000-03.cnf	SAT	6.281	SAT	6.316	SAT	6.194	SAT	6.214	SAT	12.103	6.281	6.316	6.194	6.214	12.103
../SAT2019/sr2019/old/x2_128.shuffled-as.sat03-1598-sc2002.cnf	-	5000.018	-	5000.012	-	5000.014	-	5000.415	-	5000.039	10000	10000	10000	10000	10000
../SAT2018/final/CRIL/T87.2.0.cnf	UNSAT	534.519	UNSAT	553.763	UNSAT	598.853	UNSAT	607.873	UNSAT	786.024	534.519	553.763	598.853	607.873	786.024
../SAT2018/Scheel/cms-scheel-md5-families-r24-c7-p1-5-6-12-16-18-19.cnf	SAT	930.821	SAT	229.409	SAT	988.432	SAT	875.106	SAT	1071.556	930.821	229.409	988.432	875.106	1071.556
../SAT2019/sr2019/old/Nb7T44-sc2017.cnf	SAT	4.641	SAT	4.345	SAT	107.669	SAT	114.471	SAT	117.05	4.641	4.345	107.669	114.471	117.05
../SAT2018/final/Collatz/mod8-abd-yad.rules.7-7.cnf	SAT	301.222	SAT	20.616	SAT	257.341	SAT	87.728	SAT	439.718	301.222	20.616	257.341	87.728	439.718
../SAT2018/Heule/CNP-5-700.cnf	SAT	161.783	SAT	185.505	SAT	607.659	SAT	128.193	SAT	128.456	161.783	185.505	607.659	128.193	128.456
../SAT2019/sr2019/old/EDP3-70000-sc2014.cnf	-	5000.054	-	5000.059	-	5000.121	-	5000.113	-	5000.086	10000	10000	10000	10000	10000
../SAT2019/sr2019/old/Schur_161_5_d22-sc2016.cnf	-	5000.011	-	5000.01	-	5000.008	-	5000.009	-	5000.05	10000	10000	10000	10000	10000
../SAT2018/Heusser/satcoin-genesis-SAT-1024.cnf	SAT	55.521	SAT	66.043	SAT	56.534	SAT	56.335	SAT	65.882	55.521	66.043	56.534	56.335	65.882
../SAT2019/sr2019/new/Heule/MM-23-2-2-3-A.cnf	-	5000.072	-	5000.011	-	5000.034	-	5000.01	-	5000.006	10000	10000	10000	10000	10000
../SAT2019/sr2019/new/Bebel/toughsat_28bits_0.cnf	-	5000.011	-	5000.014	SAT	386.05	-	5000.019	SAT	3350.392	10000	10000	386.05	10000	3350.392
../SAT2018/Xiao/Nb37T6.cnf	UNSAT	742.703	UNSAT	874.643	UNSAT	896.064	UNSAT	1033.965	UNSAT	718.778	742.703	874.643	896.064	1033.965	718.778
../SAT2019/sr2019/new/Zhou/knight_20.cnf	-	5000.099	-	5000.047	-	5000.042	-	5000.07	-	5000.059	10000	10000	10000	10000	10000
../SAT2019/sr2019/new/Biere/eqbpdtlf14spdtlf14.cnf	-	5000.041	-	5000.021	-	5000.012	-	5000.01	-	5000.03	10000	10000	10000	10000	10000
../SAT2019/sr2019/old/ezfact64_8.shuffled-as.sat03-1524-sc2002.cnf	SAT	71.271	SAT	122.429	SAT	111.154	SAT	84.779	SAT	149.859	71.271	122.429	111.154	84.779	149.859
../SAT2019/sr2019/new/Skladanivskyy/sha1r17m145ABCD.cnf	SAT	2263.192	SAT	728.254	SAT	1614.601	SAT	2704.869	SAT	3024.867	2263.192	728.254	1614.601	2704.869	3024.867
../SAT2018/Ehlers/ex177_12.cnf	-	5000.115	-	5000.088	-	5000.117	-	5000.107	-	5000.086	10000	10000	10000	10000	10000
../SAT2019/sr2019/new/Savicky/size_4_4_4_i4295_r8.cnf	UNSAT	165.73	UNSAT	200.914	UNSAT	178.15	UNSAT	175.924	UNSAT	196.329	165.73	200.914	178.15	175.924	196.329
../SAT2018/Scheel/cms-scheel-md5-families-r24-c6-p1-4-6-13-14-18.cnf	-	5000.023	SAT	4726.643	-	5000.011	-	5000.055	SAT	4983.586	10000	4726.643	10000	10000	4983.586
../SAT2019/sr2019/old/uniqinv47prop-sc2018.cnf	UNSAT	3623.417	-	5000.018	UNSAT	3913.072	UNSAT	3826.919	UNSAT	4180.235	3623.417	10000	3913.072	3826.919	4180.235
../SAT2019/sr2019/new/vonHolten/b1904P1-8x8c6h7SAT.cnf	SAT	2485.549	-	5000.01	SAT	4120.377	-	5000.023	SAT	4424.148	2485.549	10000	4120.377	10000	4424.148
../SAT2018/Heule/CNP-5-500.cnf	SAT	672.236	SAT	205.136	SAT	176.347	SAT	691.952	SAT	819.895	672.236	205.136	176.347	691.952	819.895
