instance,maple result,maple time,maple-chrono result,maple-chrono time,maple-trail result,maple-trail time,maple-trail-append result,maple-trail-append time,maple-trail-2levels-ahead,maple-trail-2levels-ahead,par2,par-2 chrono,par-2 trail,par-2 append,par-2 1lvl,maple-chrono-dl result,maple-chrono-dl-time,
../SAT2019/sr2019/new/Bebel/toughsat_24bits_3.cnf,SAT,254.79,SAT,306.278,SAT,229.626,,,SAT,43.481,254.79,306.278,229.626,,43.481,SAT,29.981,29.981
../SAT2018/Manthey/Problem14_label57_false-unreach-call.c.cnf,SAT,101.904,SAT,91.015,SAT,147.168,,,SAT,234.87,101.904,91.015,147.168,,234.87,SAT,86.283,86.283
../SAT2018/Harder/ecarev-110-1031-23-40-8.cnf,SAT,586.823,SAT,294.159,SAT,547.149,,,SAT,741.423,586.823,294.159,547.149,,741.423,SAT,266.084,266.084
../SAT2018/final/CRIL/T105.2.0.cnf,UNSAT,321.803,UNSAT,326.289,UNSAT,238.597,,,UNSAT,308.147,321.803,326.289,238.597,,308.147,UNSAT,304.335,304.335
../SAT2019/sr2019/old/sokoban-p16.sas.ex.19-sc2016.cnf,-,5000.081,-,5000.084,-,5000.089,,,-,5000.09,10000,10000,10000,,10000,-,5000.092,10000
../SAT2018/Chen/20180321_140833987_p_cnf_320_1120.cnf,-,5000.012,-,5000.011,-,5000.013,,,-,5000.01,10000,10000,10000,,10000,-,5000.013,10000
../SAT2019/sr2019/new/Zhou/CarSequencing-90-01_c18.cnf,SAT,118.227,SAT,46.157,SAT,86.41,,,SAT,158.588,118.227,46.157,86.41,,158.588,SAT,41.468,41.468
../SAT2019/sr2019/old/par32-1-c.shuffled-as.sat03-1531-sc2002.cnf,-,5000.044,-,5000.007,-,5000.039,,,-,5000.011,10000,10000,10000,,10000,-,5000.015,10000
../SAT2019/sr2019/new/Chen/hcp_d22_22.cnf,-,5000.011,-,5000.091,-,5002.44,,,-,5000.033,10000,10000,10000,,10000,-,5000.076,10000
../SAT2018/Biere/sdiv20prop.cnf,-,5000.012,-,5000.014,-,5000.012,,,-,5000.034,10000,10000,10000,,10000,-,5000.02,10000
../SAT2019/sr2019/old/mod2c-3cage-unsat-10-3.sat05-2568.reshuffled-07-sc2007.cnf,UNSAT,397.887,UNSAT,400.72,UNSAT,228.205,,,UNSAT,478.618,397.887,400.72,228.205,,478.618,UNSAT,594.171,594.171
../SAT2019/sr2019/new/Zaikin/Grain_no_init_ver1_out200_known_last105_0.cnf,SAT,249.064,SAT,131.156,SAT,567.291,,,SAT,1264.969,249.064,131.156,567.291,,1264.969,SAT,837.891,837.891
