original_time,index
1.119,5
1.198,10
2.004,15
2.819,20
4.167,25
6.005,30
7.599,35
10.261,40
11.580,45
13.759,50
17.786,55
20.952,60
25.770,65
28.719,70
34.352,75
38.150,80
41.455,85
45.533,90
48.441,95
53.007,100
63.765,105
74.288,110
76.291,115
79.266,120
84.914,125
93.427,130
98.982,135
106.646,140
115.903,145
121.057,150
125.081,155
136.820,160
150.369,165
158.239,170
163.361,175
171.728,180
179.091,185
192.166,190
197.149,195
202.264,200
219.228,205
229.409,210
231.528,215
246.492,220
262.121,225
287.558,230
306.241,235
316.735,240
326.561,245
355.820,250
369.693,255
379.203,260
398.587,265
419.287,270
432.450,275
444.658,280
460.611,285
476.539,290
507.551,295
528.796,300
541.323,305
543.240,310
560.902,315
595.035,320
613.520,325
653.390,330
661.088,335
697.801,340
709.992,345
727.563,350
753.333,355
787.277,360
826.641,365
874.643,370
920.191,375
978.450,380
1037.105,385
1110.086,390
1153.860,395
1164.060,400
1202.529,405
1268.540,410
1361.953,415
1397.127,420
1531.541,425
1599.242,430
1688.873,435
1761.312,440
1869.151,445
1931.292,450
2026.846,455
2316.927,460
2346.073,465
2474.871,470
2554.419,475
2784.559,480
2883.133,485
3272.007,490
3843.401,500
4032.119,505
4266.565,510
4551.286,515
