original_time,index
0.985,5
1.313,10
1.570,15
2.997,20
4.399,25
5.232,30
6.469,35
9.449,40
11.689,45
12.877,50
18.671,55
23.923,60
27.401,65
30.081,70
34.072,75
39.605,80
42.369,85
43.787,90
47.627,95
52.232,100
57.199,105
60.266,110
71.615,115
74.977,120
77.178,125
79.760,130
85.401,135
93.130,140
105.299,145
115.807,150
128.193,155
139.953,160
147.563,165
153.257,170
166.702,175
180.715,180
184.654,185
197.213,190
206.728,195
229.496,200
232.854,205
250.844,210
268.509,215
278.109,220
284.079,225
296.167,230
316.112,235
321.475,240
334.264,245
355.906,250
371.364,255
384.408,260
391.450,265
402.144,270
421.325,275
424.825,280
433.586,285
448.026,290
450.295,295
463.790,300
486.982,305
497.278,310
514.017,315
533.989,320
554.258,325
586.283,330
596.811,335
632.834,340
653.575,345
695.318,350
738.057,355
769.376,360
795.176,365
860.211,370
914.744,375
946.427,380
1021.967,385
1084.856,390
1148.124,395
1166.192,400
1221.480,405
1276.231,410
1348.135,415
1441.425,420
1540.316,425
1647.613,430
1775.545,435
1822.753,440
1946.174,445
1982.571,450
2089.886,455
2221.258,460
2300.309,465
2371.430,470
2490.327,475
2670.862,480
2797.730,485
2986.912,490
3330.067,495
3498.319,500
3697.485,505
4050.442,510
4270.716,515
4838.105,520
