original_time,index
2.996,5
6.042,10
11.440,15
15.476,20
20.935,25
24.665,30
29.981,35
35.518,40
39.106,45
46.152,50
51.670,55
58.018,60
63.933,65
70.227,70
78.284,75
82.312,80
86.283,85
96.908,90
102.041,95
106.250,100
115.968,105
129.499,110
138.947,115
162.311,120
168.662,125
180.216,130
188.786,135
190.744,140
193.523,145
203.978,150
214.481,155
220.105,160
229.803,165
243.802,170
250.919,175
262.212,180
265.270,185
270.840,190
274.799,195
282.693,200
295.530,205
303.273,210
318.817,215
340.154,220
348.079,225
359.541,230
369.507,235
384.979,240
390.615,245
407.159,250
413.792,255
422.692,260
428.009,265
434.321,270
438.992,275
469.788,280
509.047,285
549.214,290
558.724,295
579.136,300
606.371,305
629.067,310
687.743,320
703.325,325
729.730,330
745.813,335
798.098,340
822.987,345
840.120,350
919.138,355
947.592,360
974.256,365
999.821,370
1020.251,375
1102.334,380
1145.729,385
1267.250,390
1335.600,395
1386.178,400
1444.824,405
1494.304,410
1569.053,415
1620.526,420
1789.447,425
1927.018,430
2026.276,435
2191.550,440
2290.830,445
2494.462,450
2734.617,455
2865.917,460
3078.125,465
3243.268,470
3866.498,475
4179.912,480
4769.933,485
