original_time,index
2.714,5
4.605,10
8.972,15
14.023,20
17.372,25
20.398,30
27.696,35
33.678,40
39.225,45
46.157,50
50.380,55
54.064,60
63.342,65
69.418,70
77.205,75
81.175,80
90.691,85
99.452,90
109.460,95
115.993,100
118.685,105
125.820,110
132.998,115
144.887,120
148.924,125
156.346,130
161.364,135
170.726,140
178.819,145
189.448,150
203.282,155
206.930,160
217.920,165
230.139,170
247.409,175
257.831,180
267.892,185
278.476,190
288.343,195
294.159,200
307.972,205
313.660,210
320.236,215
337.705,220
347.178,225
357.432,230
368.268,235
381.433,240
389.683,245
398.270,250
406.526,255
439.294,260
450.208,265
460.446,270
491.126,275
502.786,280
518.747,285
540.879,290
566.410,295
594.354,300
617.658,305
655.119,310
680.467,315
728.625,320
770.223,325
855.899,330
940.144,335
978.245,340
1019.561,345
1050.494,350
1081.908,355
1125.043,360
1183.198,365
1257.090,370
1316.461,375
1372.939,380
1514.205,385
1600.891,390
1728.356,395
1848.091,400
2028.981,405
2302.493,410
2500.897,415
2561.699,420
2609.636,425
2662.465,430
2705.208,435
2737.417,440
2799.714,445
2886.747,450
3107.064,455
3460.678,460
3783.909,465
4171.299,470
