original_time,index
2.684,5
3.923,10
12.145,15
17.060,20
17.812,25
22.146,30
29.142,35
34.570,40
44.821,45
49.782,50
57.051,55
61.060,60
69.530,65
73.751,70
77.733,75
94.456,80
101.063,85
112.848,90
120.163,95
131.738,100
136.646,105
142.603,110
147.432,115
151.289,120
160.822,125
174.476,130
195.118,135
200.257,140
212.799,145
215.840,150
227.338,155
238.121,160
243.865,165
259.185,170
266.722,175
270.931,180
278.869,185
283.446,190
291.317,195
300.680,200
313.044,205
320.688,210
328.640,215
336.287,220
342.782,225
359.826,230
369.320,235
383.320,240
397.733,245
408.485,250
435.401,255
451.075,260
469.057,265
479.833,270
492.949,275
502.227,280
518.494,285
560.347,290
579.717,295
596.296,300
643.899,305
666.727,310
757.572,315
792.175,320
823.302,325
859.326,330
922.662,335
1008.594,340
1099.367,345
1132.548,350
1162.570,355
1264.134,360
1303.876,365
1336.138,370
1426.904,375
1463.947,380
1708.826,385
1851.031,390
1976.448,395
2176.619,400
2304.419,405
2536.243,410
2586.231,415
2639.004,420
2707.753,425
2781.932,430
2826.345,435
3116.156,440
3380.798,445
3700.561,450
3968.351,455
4421.146,460
