original_time,index
2.447,5
4.788,10
11.368,15
18.794,20
20.383,25
28.095,30
33.414,35
38.417,40
46.860,45
52.027,50
60.016,55
67.182,60
75.289,65
77.837,70
87.359,75
98.228,80
114.132,85
123.440,90
132.104,95
141.816,100
149.714,105
156.335,110
167.912,115
177.507,120
187.822,125
199.844,130
205.784,135
215.137,140
221.358,145
232.953,150
238.597,155
250.913,160
257.867,165
264.532,170
275.614,175
285.218,180
293.140,185
300.663,190
319.640,195
324.142,200
335.292,205
339.983,210
346.504,215
354.402,220
363.887,225
378.656,230
408.263,235
420.840,240
432.448,245
448.276,250
460.624,255
465.758,260
485.883,265
504.084,270
523.535,275
544.371,280
561.506,285
588.236,290
625.722,295
650.277,300
667.524,305
692.136,310
730.506,315
759.841,320
792.986,325
831.266,330
844.094,335
885.257,340
935.882,345
1042.923,350
1111.528,355
1155.004,360
1211.955,365
1315.549,370
1431.743,375
1465.998,380
1572.108,385
1647.654,390
1854.624,395
1993.968,400
2149.997,405
2326.330,410
2395.704,415
2506.104,420
2533.374,425
2586.221,430
2661.930,435
2811.265,440
2859.095,445
2996.012,450
3192.007,455
3624.461,460
4029.526,465
4322.305,470
4655.408,475
