original_time,index
0.410,1
0.493,2
0.870,3
0.871,4
0.895,5
0.996,6
1.043,7
1.083,8
1.144,9
1.151,10
1.152,11
1.152,12
1.404,13
1.409,14
1.811,15
2.019,16
2.091,17
2.265,18
2.295,19
2.604,20
2.940,21
3.183,22
3.189,23
3.364,24
3.414,25
3.478,26
3.559,27
3.617,28
3.861,29
4.160,30
4.417,31
4.655,32
5.644,33
5.693,34
5.821,35
5.994,36
6.009,37
7.799,38
8.073,39
8.182,40
8.199,41
8.814,42
8.907,43
9.202,44
9.696,45
9.957,46
10.952,47
11.188,48
11.852,49
12.046,50
12.412,51
12.506,52
12.630,53
13.593,54
14.343,55
16.062,56
16.547,57
16.970,58
17.742,59
17.945,60
19.566,61
19.682,62
20.896,63
21.046,64
21.099,65
22.060,66
22.777,67
22.993,68
23.288,69
23.665,70
23.910,71
24.540,72
27.721,73
30.600,74
30.730,75
31.823,76
32.428,77
33.094,78
33.420,79
33.619,80
34.401,81
34.734,82
35.063,83
36.116,84
38.957,85
39.308,86
41.426,87
42.869,88
43.218,89
43.520,90
49.744,91
50.369,92
51.029,93
52.647,94
56.474,95
57.646,96
61.763,97
63.585,98
63.832,99
69.134,100
69.217,101
71.845,102
71.901,103
72.161,104
73.441,105
74.302,106
74.546,107
74.568,108
78.455,109
78.539,110
79.163,111
79.434,112
80.135,113
81.509,114
82.485,115
82.508,116
82.638,117
83.682,118
84.197,119
84.408,120
85.894,121
86.453,122
88.731,123
94.021,124
94.507,125
96.699,126
97.718,127
98.030,128
99.312,129
100.550,130
100.582,131
101.860,132
102.582,133
103.823,134
105.092,135
105.507,136
108.725,137
108.929,138
109.747,139
111.900,140
114.803,141
119.058,142
120.017,143
122.097,144
122.329,145
125.853,146
127.842,147
130.106,148
131.400,149
132.417,150
132.638,151
134.447,152
134.976,153
135.434,154
135.994,155
136.000,156
138.297,157
138.605,158
141.737,159
142.605,160
143.846,161
144.019,162
147.136,163
149.132,164
149.553,165
149.863,166
150.512,167
151.272,168
153.891,169
155.964,170
156.326,171
157.680,172
160.789,173
161.720,174
162.286,175
164.713,176
168.144,177
168.713,178
169.961,179
170.478,180
175.315,181
175.664,182
176.958,183
178.210,184
181.060,185
181.417,186
184.084,187
186.347,188
189.498,189
191.509,190
194.450,191
194.521,192
197.777,193
198.954,194
199.187,195
200.960,196
201.645,197
201.784,198
201.918,199
203.586,200
205.458,201
210.356,202
212.901,203
213.891,204
217.271,205
217.581,206
217.755,207
221.005,208
221.097,209
222.651,210
223.702,211
231.088,212
231.744,213
234.098,214
234.268,215
235.586,216
236.060,217
242.413,218
243.923,219
244.028,220
246.770,221
249.056,222
249.640,223
250.648,224
253.979,225
256.100,226
258.647,227
259.801,228
272.200,229
276.345,230
280.381,231
286.145,232
287.985,233
291.732,234
293.007,235
297.207,236
297.493,237
298.198,238
299.279,239
304.509,240
307.853,241
309.505,242
310.709,243
312.187,244
315.078,245
315.623,246
315.678,247
320.351,248
324.504,249
325.257,250
327.941,251
333.045,252
336.054,253
338.734,254
345.702,255
346.441,256
346.637,257
351.224,258
352.985,259
353.154,260
353.398,261
357.517,262
359.008,263
359.727,264
363.654,265
370.266,266
371.784,267
375.350,268
377.269,269
377.615,270
379.022,271
385.637,272
388.714,273
390.066,274
391.958,275
397.578,276
399.830,277
402.618,278
413.769,279
414.909,280
428.077,281
428.292,282
431.609,283
437.568,284
441.425,285
446.459,286
447.113,287
452.248,288
458.250,289
463.051,290
463.093,291
467.153,292
467.861,293
471.165,294
472.369,295
472.822,296
473.044,297
474.502,298
479.258,299
479.532,300
483.636,301
484.685,302
490.017,303
496.746,304
504.678,305
505.268,306
508.242,307
515.707,308
522.757,309
522.877,310
526.850,311
538.240,312
544.163,313
545.158,314
563.893,315
565.731,316
566.377,317
570.285,318
571.277,319
572.141,320
575.463,321
577.646,322
585.325,323
592.583,324
593.969,325
596.528,326
598.340,327
601.600,328
603.927,329
611.362,330
617.374,331
617.547,332
618.370,333
620.257,334
626.828,335
