original_time,index
0.161,1
0.375,2
0.401,3
0.521,4
0.666,5
0.936,6
1.072,7
1.080,8
1.121,9
1.157,10
1.245,11
1.261,12
1.291,13
1.291,14
1.299,15
1.360,16
1.493,17
1.511,18
1.564,19
1.668,20
2.382,21
2.649,22
3.042,23
3.379,24
3.425,25
3.584,26
3.721,27
3.876,28
3.877,29
4.272,30
4.436,31
4.712,32
5.865,33
6.147,34
6.193,35
6.713,36
7.176,37
8.192,38
8.900,39
9.149,40
9.231,41
9.529,42
9.841,43
11.193,44
11.835,45
12.202,46
12.614,47
13.557,48
13.604,49
13.630,50
13.756,51
13.925,52
14.309,53
14.897,54
15.834,55
17.205,56
17.511,57
17.878,58
18.204,59
19.177,60
21.174,61
22.206,62
22.650,63
23.912,64
24.225,65
24.760,66
25.537,67
25.935,68
27.594,69
27.627,70
28.988,71
29.010,72
29.223,73
29.350,74
32.444,75
32.702,76
33.278,77
35.107,78
35.521,79
36.148,80
36.227,81
37.786,82
38.749,83
38.961,84
40.333,85
41.057,86
41.669,87
42.331,88
43.281,89
43.609,90
43.840,91
43.978,92
45.458,93
48.765,94
49.019,95
49.324,96
49.756,97
50.466,98
52.349,99
52.386,100
53.345,101
57.519,102
58.252,103
59.805,104
60.166,105
64.942,106
67.134,107
68.967,108
69.729,109
70.141,110
70.453,111
70.884,112
71.100,113
71.881,114
71.924,115
71.934,116
72.522,117
73.532,118
74.554,119
76.373,120
76.998,121
77.401,122
77.505,123
78.329,124
81.828,125
82.390,126
82.811,127
83.260,128
84.114,129
85.052,130
85.171,131
86.167,132
92.475,133
93.530,134
95.498,135
95.887,136
96.948,137
98.329,138
99.576,139
100.886,140
102.355,141
102.554,142
104.043,143
105.887,144
106.031,145
108.361,146
108.580,147
116.074,148
116.242,149
119.483,150
119.607,151
120.773,152
122.334,153
122.492,154
122.495,155
123.264,156
126.201,157
128.206,158
129.785,159
131.436,160
131.704,161
132.089,162
137.687,163
139.743,164
140.882,165
141.505,166
142.014,167
142.051,168
143.886,169
147.842,170
148.052,171
152.445,172
155.654,173
156.948,174
158.246,175
160.592,176
161.088,177
165.038,178
167.061,179
169.943,180
171.264,181
171.577,182
173.382,183
177.989,184
178.158,185
178.196,186
178.971,187
182.364,188
182.593,189
183.584,190
185.373,191
188.654,192
190.062,193
195.087,194
197.949,195
201.295,196
205.332,197
205.441,198
207.754,199
207.824,200
209.007,201
209.200,202
209.587,203
211.385,204
212.113,205
215.676,206
222.277,207
223.439,208
237.814,209
237.918,210
238.368,211
239.374,212
240.737,213
242.721,214
243.781,215
245.504,216
247.104,217
248.338,218
248.896,219
249.909,220
254.377,221
257.710,222
259.486,223
260.442,224
262.413,225
264.974,226
273.359,227
274.519,228
278.545,229
278.732,230
279.584,231
280.563,232
283.688,233
291.427,234
291.441,235
292.629,236
295.862,237
296.757,238
298.556,239
300.448,240
305.807,241
312.752,242
313.859,243
314.121,244
316.734,245
318.714,246
321.033,247
323.145,248
326.887,249
328.326,250
332.734,251
336.169,252
337.661,253
340.123,254
341.032,255
343.038,256
346.758,257
347.009,258
348.212,259
352.687,260
357.293,261
358.598,262
359.666,263
361.254,264
361.369,265
361.516,266
362.119,267
366.020,268
369.037,269
369.999,270
371.417,271
372.076,272
372.999,273
378.705,274
379.576,275
381.940,276
385.053,277
385.081,278
386.250,279
387.255,280
390.304,281
390.876,282
392.898,283
393.662,284
393.709,285
396.679,286
397.234,287
400.316,288
409.023,289
409.820,290
413.575,291
416.444,292
420.921,293
421.648,294
422.825,295
422.976,296
423.784,297
423.808,298
436.986,299
439.414,300
446.456,301
447.654,302
447.854,303
451.328,304
457.560,305
457.600,306
460.125,307
462.073,308
465.875,309
478.019,310
483.270,311
487.448,312
493.092,313
493.102,314
493.619,315
496.460,316
496.653,317
500.353,318
501.078,319
516.577,320
518.356,321
518.682,322
520.322,323
524.039,324
527.114,325
528.773,326
533.715,327
534.309,328
542.240,329
542.334,330
543.878,331
543.987,332
556.383,333
558.665,334
558.829,335
562.007,336
565.261,337
565.264,338
568.236,339
568.902,340
577.634,341
583.134,342
586.992,343
602.420,344
613.955,345
639.820,346
640.117,347
664.521,348
666.668,349
675.626,350
682.766,351
683.777,352
693.055,353
717.845,354
729.825,355
731.397,356
733.186,357
733.687,358
741.916,359
755.241,360
766.535,361
781.201,362
784.672,363
806.826,364
811.937,365
820.621,366
826.793,367
830.123,368
845.264,369
848.838,370
861.109,371
867.509,372
923.373,373
924.527,374
939.774,375
960.875,376
967.275,377
989.808,378
1007.427,379
1024.811,380
1036.461,381
1060.332,382
1065.500,383
1067.449,384
1069.737,385
1082.393,386
1084.396,387
1104.870,388
1112.518,389
1117.341,390
1146.775,391
1166.754,392
1168.556,393
1174.612,394
1180.029,395
1188.045,396
1189.841,397
1191.845,398
1208.459,399
1208.525,400
1215.076,401
1225.065,402
1234.888,403
1235.862,404
1239.811,405
1249.566,406
1250.507,407
1264.208,408
1305.350,409
1328.150,410
1341.609,411
1360.797,412
1386.839,413
1399.422,414
1438.348,415
1444.226,416
1449.999,417
1478.695,418
1493.531,419
1506.162,420
1509.389,421
1533.344,422
1546.740,423
1555.577,424
1568.678,425
1586.439,426
1600.271,427
1613.346,428
1615.104,429
1618.037,430
1629.774,431
1631.039,432
1669.836,433
1689.010,434
1717.954,435
1727.835,436
1743.847,437
1754.040,438
1779.682,439
1791.338,440
1812.804,441
1813.711,442
1824.733,443
1845.716,444
1850.510,445
1863.537,446
1872.936,447
1887.054,448
1938.799,449
1950.505,450
1975.519,451
2001.660,452
2017.724,453
2027.052,454
2051.140,455
2061.843,456
2079.223,457
2116.131,458
2124.139,459
2124.857,460
2133.045,461
2180.464,462
2212.583,463
2229.708,464
2231.056,465
2303.999,466
2334.046,467
2397.474,468
2423.831,469
2441.716,470
2444.816,471
2473.004,472
2504.117,473
2507.340,474
2578.154,475
2580.532,476
2596.562,477
2633.701,478
2641.805,479
2697.261,480
2709.924,481
2714.346,482
2733.378,483
2745.270,484
2754.465,485
2780.892,486
2869.997,487
2875.048,488
2884.508,489
2912.130,490
2915.039,491
3013.616,492
3039.600,493
3043.096,494
3076.233,495
3093.915,496
3103.141,497
3172.968,498
3216.149,499
3235.184,500
3272.307,501
3288.930,502
3347.663,503
3369.431,504
3375.899,505
3393.892,506
3448.837,507
3532.304,508
3567.441,509
3607.126,510
3657.465,511
3708.162,512
3806.073,513
3831.300,514
3863.370,515
3906.670,516
4015.514,517
4048.107,518
4070.876,519
4084.599,520
4149.362,521
4200.781,522
4219.983,523
4247.328,524
4280.516,525
4285.475,526
4337.626,527
4366.112,528
4424.642,529
4725.629,530
4778.232,531
4814.405,532
