original_time,index
0.498,1
0.879,2
0.940,3
1.048,4
1.105,5
1.133,6
1.145,7
1.178,8
1.344,9
1.446,10
1.449,11
1.653,12
1.705,13
1.884,14
2.041,15
2.091,16
2.174,17
2.245,18
2.496,19
2.906,20
3.175,21
3.368,22
3.382,23
3.385,24
3.722,25
3.760,26
3.911,27
4.816,28
4.856,29
4.898,30
5.010,31
5.925,32
5.982,33
6.234,34
7.367,35
8.124,36
8.417,37
8.572,38
8.600,39
10.627,40
10.960,41
11.407,42
11.837,43
12.053,44
12.307,45
12.383,46
12.659,47
12.958,48
13.331,49
13.767,50
13.836,51
15.350,52
15.995,53
16.491,54
17.252,55
17.334,56
17.367,57
20.915,58
20.936,59
22.472,60
22.649,61
23.950,62
24.388,63
24.458,64
25.856,65
26.052,66
26.534,67
27.396,68
29.660,69
30.844,70
32.981,71
33.006,72
33.425,73
33.689,74
34.306,75
35.373,76
35.414,77
37.533,78
37.804,79
38.206,80
38.835,81
39.008,82
39.604,83
39.913,84
40.816,85
41.543,86
41.956,87
42.863,88
43.610,89
44.798,90
45.813,91
46.468,92
46.625,93
47.983,94
49.397,95
50.922,96
51.760,97
55.066,98
55.129,99
55.197,100
55.914,101
59.140,102
60.485,103
61.043,104
63.646,105
65.403,106
67.251,107
68.280,108
68.826,109
69.091,110
69.185,111
69.514,112
69.684,113
70.085,114
71.910,115
71.912,116
72.266,117
73.653,118
74.124,119
75.136,120
75.556,121
76.358,122
76.414,123
78.146,124
78.201,125
78.673,126
79.339,127
82.048,128
83.441,129
84.742,130
85.011,131
85.874,132
87.578,133
90.492,134
91.985,135
92.432,136
93.308,137
93.709,138
96.785,139
97.273,140
99.579,141
100.490,142
101.640,143
101.686,144
102.313,145
102.313,146
102.396,147
105.026,148
106.321,149
106.593,150
107.298,151
110.295,152
111.238,153
113.419,154
113.628,155
116.021,156
116.140,157
116.154,158
118.015,159
119.489,160
120.101,161
122.230,162
123.248,163
126.329,164
131.295,165
131.614,166
134.369,167
138.155,168
138.245,169
141.917,170
142.296,171
143.678,172
144.716,173
145.561,174
145.892,175
148.029,176
148.381,177
150.515,178
151.650,179
153.923,180
154.368,181
157.184,182
160.511,183
161.837,184
162.915,185
164.335,186
165.509,187
166.891,188
167.087,189
167.545,190
172.182,191
172.835,192
173.847,193
175.095,194
179.303,195
180.244,196
180.944,197
181.935,198
183.093,199
184.517,200
184.749,201
184.985,202
186.564,203
193.269,204
199.007,205
202.265,206
203.220,207
207.179,208
209.387,209
210.752,210
213.559,211
214.924,212
218.014,213
218.448,214
218.995,215
219.326,216
221.859,217
222.564,218
224.219,219
224.654,220
226.214,221
229.533,222
230.577,223
232.892,224
236.556,225
237.179,226
242.104,227
247.865,228
247.939,229
248.269,230
248.895,231
253.036,232
258.285,233
260.475,234
261.201,235
265.394,236
