original_time,index
0.299,1
0.369,2
0.432,3
0.900,4
0.940,5
1.018,6
1.131,7
1.180,8
1.184,9
1.215,10
1.230,11
1.264,12
1.265,13
1.286,14
1.288,15
1.537,16
1.983,17
2.190,18
2.580,19
2.831,20
3.351,21
3.616,22
3.635,23
3.664,24
3.826,25
3.918,26
4.008,27
4.087,28
4.417,29
4.629,30
5.937,31
6.054,32
7.297,33
7.699,34
8.593,35
9.180,36
9.378,37
9.422,38
10.577,39
10.945,40
11.190,41
11.230,42
11.782,43
13.030,44
13.451,45
13.733,46
13.838,47
14.208,48
14.770,49
15.351,50
16.871,51
16.893,52
16.984,53
19.006,54
19.106,55
19.942,56
20.554,57
22.413,58
23.150,59
23.373,60
25.918,61
26.875,62
28.540,63
28.945,64
29.210,65
29.712,66
30.889,67
31.127,68
32.261,69
32.509,70
32.934,71
33.709,72
33.837,73
34.135,74
34.396,75
35.721,76
36.500,77
37.672,78
38.467,79
39.078,80
39.985,81
40.264,82
42.563,83
43.354,84
45.101,85
45.489,86
46.913,87
48.221,88
48.612,89
49.307,90
50.395,91
51.580,92
52.790,93
54.737,94
55.499,95
60.089,96
63.895,97
65.785,98
68.838,99
69.248,100
69.830,101
69.861,102
69.934,103
70.088,104
71.392,105
71.416,106
71.950,107
72.216,108
72.809,109
75.716,110
76.410,111
77.060,112
78.316,113
78.585,114
78.743,115
78.756,116
79.060,117
79.269,118
79.445,119
79.903,120
82.175,121
82.528,122
82.655,123
83.991,124
84.231,125
85.335,126
85.494,127
88.381,128
90.834,129
94.839,130
96.542,131
97.791,132
98.279,133
99.067,134
99.603,135
99.802,136
100.111,137
100.619,138
100.726,139
101.942,140
104.532,141
105.045,142
107.960,143
109.228,144
109.381,145
110.154,146
111.461,147
112.600,148
112.865,149
113.085,150
113.831,151
114.889,152
115.956,153
116.381,154
116.455,155
117.466,156
117.680,157
121.904,158
123.472,159
126.189,160
126.958,161
128.453,162
128.477,163
129.387,164
132.580,165
132.614,166
132.880,167
134.110,168
136.644,169
138.151,170
142.680,171
142.709,172
143.755,173
145.231,174
148.885,175
149.314,176
149.558,177
151.819,178
151.885,179
157.650,180
158.329,181
160.706,182
161.816,183
162.440,184
162.575,185
163.363,186
165.034,187
165.126,188
166.510,189
170.221,190
170.360,191
173.793,192
174.453,193
178.079,194
181.846,195
181.915,196
181.940,197
182.709,198
183.520,199
185.743,200
186.619,201
187.459,202
189.964,203
192.523,204
192.702,205
192.712,206
196.236,207
196.942,208
199.510,209
200.265,210
201.466,211
204.540,212
208.313,213
208.350,214
211.230,215
211.490,216
211.807,217
215.736,218
217.611,219
218.073,220
221.800,221
223.237,222
224.798,223
227.247,224
230.135,225
230.544,226
230.926,227
239.236,228
239.858,229
241.599,230
243.121,231
243.770,232
245.167,233
248.475,234
250.503,235
250.640,236
250.795,237
251.906,238
252.292,239
252.748,240
253.990,241
259.339,242
261.737,243
273.317,244
277.005,245
279.120,246
290.773,247
290.870,248
293.565,249
295.801,250
296.529,251
304.718,252
306.416,253
313.567,254
315.331,255
315.697,256
318.582,257
320.285,258
324.566,259
332.084,260
338.566,261
348.709,262
349.552,263
350.019,264
350.521,265
351.715,266
351.928,267
352.682,268
353.912,269
362.297,270
362.418,271
368.789,272
369.447,273
377.488,274
378.321,275
379.135,276
379.763,277
382.936,278
386.385,279
389.110,280
389.945,281
391.686,282
392.391,283
392.649,284
394.538,285
397.633,286
406.423,287
406.843,288
408.474,289
410.032,290
411.098,291
412.161,292
415.678,293
416.712,294
425.825,295
426.253,296
428.823,297
429.607,298
436.022,299
439.548,300
440.108,301
445.046,302
453.635,303
456.323,304
461.036,305
463.200,306
468.877,307
470.760,308
474.964,309
476.472,310
477.189,311
478.944,312
485.377,313
488.631,314
489.361,315
492.035,316
498.337,317
504.399,318
507.808,319
508.655,320
510.007,321
512.358,322
513.755,323
514.352,324
515.412,325
516.279,326
519.013,327
522.409,328
524.013,329
524.760,330
530.784,331
532.950,332
535.886,333
539.783,334
543.039,335
543.893,336
548.230,337
549.081,338
553.740,339
558.333,340
561.143,341
570.478,342
578.910,343
585.609,344
595.625,345
606.165,346
624.198,347
631.850,348
635.053,349
636.631,350
638.571,351
641.516,352
642.466,353
643.539,354
646.798,355
650.879,356
652.679,357
656.173,358
670.166,359
676.340,360
683.857,361
702.949,362
723.981,363
724.384,364
728.237,365
739.516,366
789.721,367
792.336,368
814.522,369
817.498,370
823.309,371
834.992,372
847.972,373
857.299,374
881.455,375
894.569,376
900.103,377
948.525,378
967.774,379
987.054,380
1040.730,381
1043.454,382
1056.615,383
1057.736,384
1058.926,385
1069.035,386
1102.403,387
1111.953,388
1119.254,389
1122.644,390
1142.582,391
1151.249,392
1155.191,393
1156.010,394
1175.199,395
1181.723,396
1189.094,397
1197.529,398
1207.740,399
1221.305,400
1221.505,401
1238.787,402
1243.143,403
1245.651,404
1261.363,405
1272.645,406
1284.998,407
1305.644,408
1308.617,409
1321.973,410
1332.076,411
1345.379,412
1348.942,413
1356.136,414
1372.070,415
1373.100,416
1432.032,417
1432.667,418
1437.718,419
1438.419,420
1455.987,421
1484.639,422
1493.549,423
1513.820,424
1515.148,425
1538.598,426
1543.592,427
1563.119,428
1577.376,429
1593.891,430
1595.082,431
1601.743,432
1609.668,433
1641.173,434
1673.882,435
1693.195,436
1779.130,437
1779.732,438
1783.303,439
1790.159,440
1805.321,441
1822.448,442
1830.290,443
1861.768,444
1862.368,445
1868.269,446
1911.302,447
1918.296,448
1927.581,449
1935.589,450
1952.091,451
1955.414,452
1974.614,453
1977.993,454
1987.709,455
2000.893,456
2002.523,457
2008.170,458
2015.447,459
2045.549,460
2047.779,461
2054.294,462
2062.504,463
2088.089,464
2105.781,465
2112.375,466
2116.872,467
2158.212,468
2174.834,469
2198.324,470
2218.601,471
2231.393,472
2301.051,473
2321.893,474
2334.113,475
2360.037,476
2383.032,477
2474.307,478
2500.991,479
2502.094,480
2515.593,481
2594.013,482
2604.290,483
2643.564,484
2665.956,485
2669.047,486
2722.222,487
2723.981,488
2724.665,489
2753.167,490
2769.008,491
2804.915,492
2808.302,493
2853.666,494
2867.312,495
2928.945,496
2936.663,497
2937.073,498
2975.405,499
3006.995,500
3134.835,501
3201.502,502
3215.368,503
3271.239,504
3283.711,505
3303.556,506
3347.060,507
3381.080,508
3491.209,509
3500.731,510
3580.254,511
3697.154,512
3723.538,513
3754.429,514
3806.126,515
3806.800,516
3925.764,517
3928.324,518
3956.060,519
4078.117,520
4345.522,521
4351.572,522
4351.815,523
4420.103,524
4500.776,525
4515.905,526
4629.315,527
4732.913,528
4759.437,529
4844.598,530
4874.983,531
