original_time,index
0.407,1
0.898,2
0.965,3
1.183,4
1.188,5
1.188,6
1.199,7
1.224,8
1.254,9
1.265,10
1.269,11
1.275,12
1.366,13
1.419,14
1.451,15
1.737,16
1.769,17
1.845,18
2.439,19
3.464,20
3.608,21
3.637,22
3.737,23
4.054,24
4.113,25
4.269,26
4.289,27
4.411,28
4.477,29
4.881,30
5.877,31
6.177,32
6.327,33
6.569,34
6.721,35
6.974,36
7.009,37
8.520,38
8.798,39
9.814,40
9.826,41
9.998,42
10.050,43
10.924,44
11.477,45
11.652,46
12.016,47
12.908,48
13.111,49
13.393,50
14.537,51
14.754,52
14.804,53
15.143,54
15.729,55
15.983,56
17.487,57
18.423,58
19.420,59
20.297,60
21.080,61
21.105,62
23.631,63
24.640,64
24.685,65
24.750,66
24.857,67
26.646,68
27.437,69
27.613,70
27.794,71
30.741,72
31.421,73
31.739,74
34.212,75
34.292,76
34.594,77
35.659,78
36.646,79
39.437,80
41.015,81
43.516,82
43.734,83
44.423,84
45.359,85
45.641,86
45.967,87
48.020,88
48.085,89
48.093,90
48.879,91
49.898,92
50.263,93
50.288,94
50.802,95
51.257,96
51.389,97
56.118,98
60.296,99
61.062,100
61.332,101
62.562,102
63.558,103
63.572,104
64.854,105
65.196,106
66.806,107
67.485,108
69.135,109
69.160,110
69.576,111
72.155,112
72.916,113
74.011,114
74.871,115
74.901,116
75.516,117
76.357,118
77.161,119
78.393,120
79.096,121
80.057,122
80.644,123
81.387,124
81.551,125
82.779,126
83.849,127
85.575,128
87.423,129
87.671,130
88.486,131
88.733,132
91.044,133
91.294,134
96.502,135
97.137,136
97.561,137
99.584,138
100.490,139
100.639,140
102.133,141
102.303,142
104.649,143
111.153,144
111.524,145
111.635,146
113.261,147
120.194,148
120.673,149
125.085,150
127.115,151
128.120,152
128.518,153
130.589,154
130.609,155
135.796,156
135.897,157
136.383,158
138.766,159
138.871,160
139.184,161
139.464,162
140.625,163
141.210,164
142.017,165
142.406,166
