original_time,index
0.475,1
2.084,2
2.201,3
2.417,4
2.714,5
2.938,6
3.395,7
3.920,8
4.188,9
4.605,10
4.730,11
5.193,12
6.849,13
7.238,14
8.972,15
9.629,16
11.601,17
12.673,18
13.715,19
14.023,20
15.156,21
15.582,22
15.649,23
15.976,24
17.372,25
17.529,26
17.818,27
18.498,28
19.255,29
20.398,30
22.177,31
22.797,32
24.420,33
25.721,34
27.696,35
29.637,36
30.169,37
32.829,38
33.343,39
33.678,40
34.353,41
34.372,42
34.620,43
35.530,44
39.225,45
39.763,46
41.156,47
44.088,48
44.868,49
46.157,50
46.435,51
46.540,52
48.604,53
49.806,54
50.380,55
50.632,56
50.685,57
50.823,58
51.407,59
54.064,60
57.599,61
58.962,62
61.073,63
63.342,64
65.572,65
66.084,66
68.410,67
69.384,68
69.418,69
71.948,70
73.175,71
73.255,72
74.596,73
77.205,74
77.283,75
77.639,76
78.240,77
79.559,78
81.175,79
83.626,80
87.420,81
88.824,82
90.390,83
90.691,84
91.015,85
94.219,86
97.677,87
98.632,88
99.452,89
100.787,90
100.912,91
101.931,92
104.364,93
109.460,94
110.864,95
112.267,96
113.047,97
113.373,98
115.993,99
116.510,100
117.425,101
117.436,102
118.032,103
118.685,104
121.566,105
121.925,106
124.353,107
125.542,108
125.820,109
126.479,110
126.974,111
131.114,112
131.156,113
132.998,114
134.008,115
134.350,116
143.425,117
143.595,118
144.887,119
145.978,120
146.970,121
148.668,122
148.853,123
148.924,124
150.437,125
151.999,126
152.215,127
155.252,128
156.346,129
158.419,130
160.244,131
161.160,132
161.197,133
161.364,134
161.423,135
161.896,136
168.252,137
168.616,138
170.726,139
172.752,140
175.554,141
178.197,142
178.819,143
179.782,144
183.395,145
183.732,146
189.448,147
193.309,148
197.039,149
197.659,150
202.073,151
203.282,152
203.321,153
203.659,154
204.321,155
205.963,156
206.930,157
209.391,158
209.663,159
215.851,160
216.974,161
217.920,162
219.624,163
220.822,164
222.933,165
228.762,166
230.139,167
230.857,168
233.102,169
239.996,170
246.467,171
247.409,172
248.541,173
252.201,174
252.626,175
256.069,176
257.831,177
262.652,178
264.697,179
267.253,180
267.594,181
267.892,182
268.379,183
271.341,184
272.196,185
276.155,186
278.476,187
279.723,188
280.457,189
282.599,190
286.311,191
288.343,192
288.659,193
288.679,194
288.887,195
292.144,196
294.159,197
295.293,198
296.926,199
301.017,200
306.278,201
307.972,202
308.056,203
310.693,204
310.999,205
312.489,206
313.660,207
315.784,208
316.792,209
317.807,210
318.225,211
320.236,212
326.289,213
329.731,214
332.116,215
336.203,216
337.705,217
341.714,218
342.151,219
342.981,220
344.439,221
347.178,222
348.253,223
351.179,224
351.706,225
354.416,226
357.432,227
358.660,228
358.768,229
359.322,230
363.097,231
368.268,232
373.084,233
375.692,234
377.373,235
379.338,236
381.433,237
382.243,238
384.321,239
386.509,240
388.907,241
389.683,242
390.982,243
392.221,244
393.626,245
396.744,246
398.270,247
398.512,248
400.720,249
402.328,250
406.109,251
406.526,252
418.904,253
426.868,254
433.540,255
434.963,256
439.294,257
441.149,258
444.474,259
445.229,260
449.329,261
450.208,262
452.416,263
455.827,264
456.802,265
456.870,266
460.446,267
465.953,268
471.892,269
475.637,270
487.898,271
491.126,272
491.292,273
492.791,274
495.535,275
497.566,276
502.786,277
505.295,278
506.008,279
507.216,280
516.829,281
518.747,282
524.462,283
527.719,284
529.005,285
530.530,286
540.879,287
544.565,288
551.227,289
556.237,290
560.220,291
566.410,292
569.920,293
590.928,294
593.838,295
593.853,296
594.354,297
603.416,298
605.788,299
607.047,300
613.171,301
617.658,302
641.852,303
647.150,304
648.107,305
655.119,306
657.199,307
660.279,308
663.209,309
674.988,310
680.467,311
684.883,312
687.212,313
709.306,314
719.717,315
728.625,316
746.225,317
761.803,318
