original_time,index
0.457,1
2.077,2
2.481,3
2.631,4
2.684,5
2.855,6
2.909,7
3.258,8
3.319,9
3.923,10
4.464,11
4.471,12
6.999,13
10.804,14
12.145,15
13.640,16
14.604,17
14.928,18
15.020,19
17.060,20
17.159,21
17.183,22
17.494,23
17.634,24
17.812,25
17.937,26
20.122,27
20.832,28
21.870,29
22.146,30
22.206,31
24.484,32
28.121,33
28.441,34
29.142,35
31.747,36
32.547,37
32.784,38
33.751,39
34.570,40
36.647,41
39.603,42
44.079,43
44.769,44
44.821,45
44.889,46
45.033,47
46.262,48
48.062,49
49.782,50
50.352,51
51.320,52
53.585,53
55.886,54
57.051,55
57.412,56
57.608,57
57.891,58
58.863,59
61.060,60
67.711,61
68.546,62
69.438,63
69.530,64
69.546,65
69.786,66
70.125,67
72.422,68
73.751,69
74.672,70
76.361,71
76.807,72
77.614,73
77.733,74
81.738,75
86.263,76
90.469,77
91.099,78
94.456,79
94.580,80
97.320,81
98.959,82
100.221,83
101.063,84
101.904,85
106.961,86
109.613,87
110.020,88
112.848,89
112.995,90
114.684,91
118.227,92
120.018,93
120.163,94
122.822,95
124.242,96
125.127,97
128.982,98
131.738,99
131.895,100
132.926,101
134.566,102
136.417,103
136.646,104
137.550,105
139.350,106
140.736,107
142.020,108
142.603,109
143.634,110
144.009,111
145.226,112
146.161,113
147.432,114
148.611,115
150.438,116
151.039,117
151.132,118
151.289,119
151.441,120
152.255,121
157.027,122
159.109,123
160.822,124
162.787,125
162.867,126
168.733,127
173.525,128
174.476,129
186.836,130
190.905,131
195.118,132
196.251,133
197.407,134
197.442,135
199.072,136
200.257,137
202.519,138
203.288,139
205.988,140
211.009,141
212.799,142
213.887,143
214.347,144
214.385,145
215.654,146
215.840,147
216.423,148
219.076,149
221.400,150
224.013,151
227.338,152
231.949,153
233.584,154
233.601,155
236.831,156
238.121,157
238.296,158
239.221,159
240.847,160
241.547,161
243.865,162
249.064,163
250.775,164
251.362,165
254.790,166
259.185,167
260.239,168
260.833,169
261.839,170
261.969,171
266.722,172
267.455,173
268.037,174
270.679,175
270.877,176
270.931,177
272.162,178
275.081,179
276.149,180
276.274,181
278.869,182
279.102,183
279.644,184
280.205,185
281.271,186
283.446,187
284.636,188
285.027,189
289.305,190
289.436,191
291.317,192
292.757,193
295.544,194
295.612,195
296.085,196
300.680,197
309.214,198
310.400,199
310.997,200
311.370,201
313.044,202
314.190,203
316.998,204
318.937,205
320.306,206
320.688,207
321.803,208
326.049,209
327.414,210
328.516,211
328.640,212
331.309,213
332.075,214
332.415,215
332.752,216
336.287,217
337.115,218
337.789,219
342.300,220
342.489,221
342.782,222
344.741,223
346.237,224
346.376,225
355.502,226
359.826,227
361.862,228
363.248,229
363.490,230
367.438,231
369.320,232
370.116,233
377.996,234
380.866,235
381.503,236
383.320,237
383.744,238
385.135,239
396.731,240
397.415,241
397.733,242
397.887,243
401.654,244
401.714,245
406.805,246
408.485,247
408.863,248
415.787,249
425.535,250
432.515,251
435.401,252
437.377,253
438.453,254
440.931,255
448.749,256
451.075,257
463.650,258
464.561,259
466.470,260
466.522,261
469.057,262
473.643,263
473.715,264
475.586,265
476.199,266
479.833,267
481.307,268
485.965,269
487.177,270
490.221,271
492.949,272
493.062,273
494.933,274
501.158,275
502.010,276
502.227,277
502.899,278
505.089,279
509.749,280
513.160,281
518.494,282
519.908,283
524.374,284
549.326,285
553.160,286
560.347,287
565.910,288
571.910,289
572.658,290
576.452,291
579.717,292
585.139,293
586.823,294
588.575,295
589.399,296
596.296,297
597.002,298
597.534,299
612.549,300
636.321,301
643.899,302
645.804,303
653.436,304
665.518,305
666.727,306
675.169,307
688.513,308
697.827,309
753.145,310
757.572,311
758.343,312
768.907,313
787.772,314
789.512,315
792.175,316
803.155,317
804.557,318
808.419,319
810.855,320
823.302,321
828.175,322
837.710,323
840.727,324
855.738,325
859.326,326
875.395,327
878.703,328
883.849,329
887.090,330
922.662,331
925.640,332
964.112,333
964.563,334
987.252,335
1008.594,336
1022.614,337
1027.092,338
1073.865,339
1089.503,340
1099.367,341
1115.343,342
1117.439,343
1125.521,344
1129.073,345
1132.548,346
1134.648,347
1139.616,348
1146.309,349
1153.308,350
1162.570,351
1179.255,352
1214.906,353
1235.486,354
1253.812,355
1264.134,356
1281.203,357
1281.920,358
1293.103,359
1294.213,360
1303.876,361
1312.488,362
1319.843,363
1321.764,364
1331.590,365
1336.138,366
1341.626,367
1349.839,368
