original_time,index
0.360,1
2.121,2
2.189,3
2.710,4
2.856,5
2.868,6
3.274,7
3.454,8
4.382,9
5.049,10
5.328,11
6.639,12
7.980,13
9.586,14
11.931,15
12.824,16
12.968,17
13.171,18
14.718,19
15.048,20
18.809,21
20.271,22
20.608,23
21.026,24
21.612,25
21.674,26
21.792,27
21.842,28
22.817,29
22.916,30
24.544,31
25.810,32
27.409,33
29.122,34
29.412,35
31.304,36
34.606,37
34.715,38
38.295,39
40.110,40
40.149,41
40.244,42
41.114,43
41.377,44
42.665,45
45.139,46
46.397,47
49.075,48
49.382,49
50.364,50
52.970,51
55.001,52
55.370,53
58.390,54
61.283,55
64.835,56
65.218,57
67.032,58
67.380,59
68.283,60
69.461,61
69.825,62
71.365,63
73.312,64
73.648,65
74.798,66
75.943,67
76.352,68
77.308,69
77.334,70
77.818,71
77.859,72
78.089,73
85.562,74
88.099,75
89.297,76
89.921,77
91.207,78
91.382,79
92.474,80
96.065,81
99.411,82
102.290,83
104.323,84
104.330,85
106.911,86
108.025,87
110.882,88
111.620,89
112.825,90
115.815,91
116.842,92
116.986,93
117.286,94
117.499,95
119.161,96
119.703,97
121.694,98
123.774,99
124.090,100
124.190,101
126.202,102
130.069,103
131.211,104
132.169,105
133.336,106
133.418,107
135.802,108
138.553,109
139.944,110
144.514,111
145.928,112
147.043,113
147.227,114
147.687,115
150.617,116
151.240,117
152.857,118
152.879,119
153.145,120
153.469,121
158.469,122
160.260,123
161.337,124
162.529,125
162.918,126
163.074,127
163.332,128
166.731,129
168.569,130
168.786,131
172.121,132
173.290,133
175.899,134
176.687,135
177.413,136
177.697,137
177.964,138
181.389,139
183.636,140
184.298,141
184.520,142
187.480,143
190.182,144
192.126,145
194.459,146
195.503,147
198.443,148
200.303,149
202.283,150
206.679,151
208.663,152
210.120,153
213.701,154
215.570,155
220.438,156
221.935,157
225.927,158
226.129,159
228.350,160
229.015,161
231.039,162
236.516,163
238.051,164
238.110,165
240.909,166
253.238,167
254.667,168
256.887,169
257.766,170
259.902,171
260.639,172
261.674,173
267.001,174
267.991,175
269.049,176
271.905,177
272.743,178
273.769,179
275.318,180
280.397,181
281.817,182
283.874,183
284.318,184
286.167,185
287.456,186
289.229,187
293.089,188
294.345,189
295.491,190
300.973,191
302.610,192
302.790,193
304.685,194
305.776,195
307.504,196
309.899,197
310.849,198
315.070,199
315.945,200
317.032,201
320.863,202
321.732,203
322.272,204
335.293,205
335.415,206
336.225,207
336.316,208
338.048,209
338.420,210
338.844,211
342.707,212
344.082,213
344.772,214
345.493,215
346.504,216
346.717,217
352.796,218
354.885,219
357.472,220
361.398,221
362.324,222
363.553,223
363.629,224
363.807,225
364.710,226
368.115,227
369.654,228
370.391,229
370.899,230
371.831,231
378.091,232
378.591,233
386.528,234
388.044,235
388.085,236
390.720,237
395.766,238
397.747,239
400.194,240
404.300,241
408.527,242
409.339,243
414.150,244
415.493,245
423.365,246
424.520,247
425.280,248
427.959,249
439.242,250
439.584,251
440.162,252
440.609,253
444.322,254
444.928,255
449.756,256
463.759,257
465.000,258
465.284,259
468.144,260
470.760,261
473.517,262
475.280,263
475.825,264
476.924,265
478.118,266
480.593,267
488.881,268
491.133,269
495.617,270
499.766,271
506.669,272
507.384,273
511.795,274
514.179,275
515.761,276
516.769,277
521.117,278
524.584,279
527.307,280
533.346,281
542.572,282
543.698,283
546.756,284
551.239,285
562.608,286
563.846,287
567.540,288
574.678,289
579.168,290
593.955,291
603.011,292
608.149,293
612.095,294
616.001,295
623.279,296
633.911,297
639.161,298
644.231,299
646.215,300
653.897,301
658.042,302
658.751,303
667.492,304
694.064,305
703.117,306
708.365,307
712.397,308
720.446,309
722.732,310
724.421,311
736.470,312
746.954,313
756.379,314
760.707,315
763.875,316
764.485,317
765.245,318
767.667,319
772.174,320
807.501,321
818.766,322
829.520,323
836.659,324
856.570,325
862.862,326
877.501,327
883.123,328
895.927,329
926.622,330
951.122,331
953.904,332
964.332,333
965.351,334
968.493,335
976.177,336
983.918,337
986.145,338
992.224,339
1006.039,340
1012.141,341
1039.218,342
1044.657,343
1046.551,344
1053.787,345
1088.588,346
1103.665,347
1103.875,348
1124.295,349
1154.573,350
1182.422,351
1187.904,352
1193.083,353
1196.106,354
1200.922,355
1216.928,356
1225.690,357
1230.786,358
1233.737,359
1293.033,360
1301.222,361
1302.578,362
1310.541,363
1313.061,364
1327.048,365
1335.763,366
1338.930,367
1343.963,368
1348.908,369
1362.504,370
1428.593,371
1432.102,372
1432.752,373
1441.792,374
1447.515,375
1462.672,376
1465.849,377
1498.891,378
1499.253,379
1521.532,380
1586.708,381
1605.266,382
1606.886,383
1622.543,384
1645.856,385
1659.922,386
1681.978,387
1719.728,388
1834.766,389
1849.552,390
1893.141,391
1898.518,392
1957.526,393
1982.491,394
2006.650,395
2098.105,396
2098.600,397
2102.518,398
2109.922,399
2156.315,400
2307.652,401
2374.054,402
2391.094,403
2435.753,404
2448.224,405
2520.227,406
2561.965,407
2569.320,408
2576.229,409
2585.684,410
2600.969,411
2605.743,412
2619.302,413
2623.439,414
2627.073,415
2630.771,416
2636.626,417
2637.991,418
2647.914,419
2668.598,420
2671.399,421
2672.930,422
2699.369,423
2699.495,424
2700.194,425
2774.561,426
2790.704,427
2792.233,428
2801.386,429
2833.048,430
2843.111,431
2844.281,432
2858.166,433
2860.911,434
2917.461,435
2966.963,436
3040.151,437
3042.663,438
3045.579,439
3082.463,440
3104.233,441
3174.501,442
3213.382,443
3242.978,444
3281.824,445
3316.464,446
3335.873,447
3339.179,448
3363.323,449
3471.484,450
3596.753,451
3647.954,452
3657.483,453
3689.834,454
3735.771,455
3870.851,456
3872.038,457
3937.406,458
4175.146,459
4298.710,460
4395.672,461
4421.838,462
4450.635,463
4598.660,464
4895.698,465
4900.050,466
4930.669,467
