original_time,index
0.384,1
2.101,2
2.435,3
2.887,4
2.951,5
3.260,6
3.362,7
3.415,8
3.727,9
5.033,10
5.120,11
6.796,12
8.199,13
8.540,14
9.364,15
12.288,16
14.432,17
15.422,18
15.939,19
16.088,20
16.677,21
18.349,22
19.101,23
20.720,24
21.761,25
22.294,26
22.595,27
22.612,28
22.674,29
24.066,30
27.088,31
27.683,32
29.403,33
30.727,34
34.056,35
35.283,36
36.155,37
37.746,38
39.080,39
40.623,40
42.032,41
42.649,42
44.509,43
45.746,44
46.435,45
47.242,46
47.335,47
47.574,48
48.408,49
48.513,50
51.371,51
52.381,52
55.373,53
57.269,54
57.788,55
62.163,56
66.798,57
69.713,58
70.343,59
70.757,60
71.198,61
72.463,62
72.956,63
73.298,64
75.170,65
75.468,66
79.464,67
79.650,68
80.131,69
82.462,70
84.837,71
90.832,72
91.299,73
91.787,74
93.460,75
95.663,76
98.658,77
98.733,78
100.134,79
100.603,80
101.539,81
103.916,82
105.270,83
105.411,84
106.560,85
110.497,86
111.338,87
112.624,88
112.726,89
116.763,90
117.586,91
120.229,92
121.406,93
122.271,94
122.468,95
125.944,96
129.211,97
134.951,98
135.055,99
137.770,100
139.022,101
139.355,102
144.290,103
145.839,104
147.453,105
149.531,106
151.391,107
153.078,108
154.383,109
155.119,110
155.486,111
156.168,112
157.667,113
157.850,114
158.761,115
159.187,116
159.813,117
160.722,118
161.309,119
165.743,120
168.186,121
168.916,122
169.599,123
169.731,124
170.887,125
171.998,126
175.460,127
176.136,128
177.115,129
177.276,130
177.764,131
183.939,132
184.069,133
184.204,134
185.080,135
191.071,136
195.072,137
195.640,138
197.539,139
197.853,140
200.933,141
204.825,142
206.576,143
209.110,144
212.706,145
218.244,146
221.249,147
222.367,148
222.601,149
225.504,150
225.915,151
226.132,152
228.535,153
229.308,154
232.452,155
234.586,156
234.800,157
235.221,158
235.447,159
235.642,160
235.906,161
236.762,162
238.905,163
244.370,164
244.767,165
245.456,166
246.464,167
247.262,168
250.389,169
253.135,170
253.880,171
257.375,172
257.805,173
263.932,174
268.483,175
272.168,176
273.569,177
277.006,178
277.556,179
279.434,180
280.071,181
282.802,182
285.678,183
292.960,184
299.510,185
300.361,186
300.915,187
304.692,188
306.859,189
307.019,190
311.720,191
312.690,192
317.330,193
319.604,194
324.977,195
325.950,196
327.666,197
328.042,198
328.347,199
331.108,200
333.494,201
334.327,202
335.134,203
337.473,204
338.523,205
340.062,206
347.651,207
349.306,208
350.166,209
353.426,210
353.536,211
353.808,212
354.556,213
360.489,214
360.582,215
362.471,216
368.236,217
368.999,218
369.856,219
372.715,220
375.059,221
378.420,222
383.371,223
385.107,224
390.823,225
391.178,226
393.660,227
404.599,228
404.620,229
405.386,230
406.508,231
409.702,232
409.999,233
410.890,234
423.662,235
426.823,236
427.501,237
430.016,238
430.538,239
431.842,240
433.024,241
433.922,242
435.619,243
437.230,244
450.696,245
451.820,246
457.302,247
460.483,248
466.927,249
476.449,250
477.935,251
478.944,252
483.354,253
489.114,254
494.168,255
494.210,256
501.146,257
501.166,258
504.700,259
507.376,260
510.249,261
514.988,262
515.540,263
519.638,264
522.345,265
523.902,266
524.039,267
525.918,268
526.561,269
526.675,270
530.922,271
532.337,272
539.195,273
544.674,274
548.413,275
564.859,276
568.906,277
571.129,278
573.393,279
575.721,280
577.797,281
599.405,282
599.805,283
600.726,284
605.790,285
607.334,286
617.089,287
622.216,288
644.974,289
646.280,290
651.167,291
658.034,292
660.142,293
661.154,294
662.985,295
667.661,296
669.882,297
679.998,298
693.314,299
698.694,300
700.234,301
703.449,302
708.553,303
729.268,304
740.434,305
749.535,306
749.980,307
751.830,308
752.629,309
757.326,310
761.690,311
762.255,312
764.007,313
774.239,314
781.096,315
787.404,316
787.535,317
788.612,318
788.795,319
793.547,320
815.951,321
822.781,322
823.331,323
825.796,324
827.160,325
831.579,326
851.610,327
851.696,328
860.632,329
867.078,330
872.912,331
872.998,332
876.796,333
912.385,334
929.179,335
947.357,336
947.778,337
955.487,338
956.475,339
970.049,340
994.684,341
1007.177,342
1015.131,343
1033.630,344
1053.727,345
1077.031,346
1103.116,347
1105.264,348
1107.916,349
1123.718,350
1141.522,351
1158.848,352
1175.930,353
1187.421,354
1187.774,355
1198.712,356
1200.623,357
1208.827,358
1211.574,359
1216.736,360
1231.014,361
1265.362,362
1286.521,363
1289.240,364
1291.735,365
1301.759,366
1325.564,367
1331.123,368
1339.212,369
1359.919,370
1380.709,371
1384.473,372
1399.403,373
1406.370,374
1414.038,375
1415.899,376
1455.869,377
1466.313,378
1474.670,379
1516.754,380
1530.506,381
1532.247,382
1546.609,383
1565.011,384
1572.924,385
1592.703,386
1628.067,387
1632.103,388
1659.517,389
1705.993,390
1706.265,391
1732.804,392
1741.394,393
1873.182,394
1878.814,395
1917.891,396
1968.413,397
1968.815,398
1980.277,399
1983.408,400
2045.444,401
2088.048,402
2122.770,403
2180.948,404
2207.205,405
2229.891,406
2240.818,407
2404.435,408
2409.892,409
2437.090,410
2451.789,411
2482.610,412
2490.361,413
2498.561,414
2501.006,415
2514.651,416
2520.251,417
2521.346,418
2526.044,419
2530.774,420
2531.908,421
2538.015,422
2540.785,423
2545.729,424
2553.656,425
2556.753,426
2568.169,427
2598.048,428
2613.107,429
2622.202,430
2657.549,431
2663.836,432
2664.353,433
2675.062,434
2680.698,435
2690.051,436
2690.500,437
2726.882,438
2727.596,439
2781.509,440
2807.848,441
2821.853,442
2826.456,443
2832.054,444
2838.653,445
2839.439,446
2899.546,447
2913.078,448
2944.608,449
3003.375,450
3060.647,451
3078.403,452
3094.907,453
3102.163,454
3197.849,455
3217.572,456
3749.272,457
3830.399,458
3864.402,459
4071.459,460
4132.727,461
4152.816,462
4237.327,463
4281.575,464
4367.728,465
4430.059,466
4468.983,467
4521.884,468
4729.347,469
