original_time,index
0.461,1
2.097,2
2.420,3
2.785,4
2.928,5
3.255,6
3.274,7
3.686,8
4.439,9
5.197,10
5.702,11
6.101,12
8.468,13
12.939,14
13.832,15
15.010,16
16.068,17
16.155,18
16.157,19
17.711,20
17.959,21
18.693,22
18.750,23
20.629,24
20.757,25
21.361,26
21.466,27
23.763,28
23.883,29
23.958,30
24.955,31
25.829,32
26.703,33
27.804,34
31.734,35
32.552,36
34.962,37
35.905,38
36.271,39
36.465,40
43.839,41
45.116,42
47.022,43
48.672,44
48.981,45
49.896,46
50.703,47
52.030,48
53.914,49
55.884,50
59.899,51
60.852,52
61.184,53
64.145,54
66.548,55
67.657,56
68.406,57
69.067,58
69.295,59
70.534,60
70.786,61
72.018,62
72.947,63
73.694,64
73.970,65
79.467,66
82.072,67
83.600,68
84.221,69
86.491,70
92.073,71
93.811,72
95.156,73
97.534,74
98.334,75
99.245,76
101.373,77
112.043,78
113.556,79
117.327,80
120.121,81
120.405,82
123.245,83
123.929,84
124.243,85
125.002,86
125.809,87
127.937,88
128.024,89
129.230,90
131.962,91
132.322,92
132.390,93
132.663,94
133.347,95
136.227,96
137.763,97
139.391,98
139.938,99
142.234,100
142.719,101
143.674,102
145.691,103
147.819,104
148.551,105
149.138,106
149.612,107
150.216,108
152.014,109
154.375,110
154.763,111
155.207,112
158.545,113
159.270,114
159.659,115
160.602,116
162.036,117
163.030,118
163.689,119
164.503,120
171.148,121
177.386,122
178.297,123
179.847,124
180.036,125
186.310,126
189.129,127
190.384,128
196.004,129
198.203,130
199.963,131
201.785,132
202.320,133
202.584,134
205.990,135
207.427,136
207.601,137
208.338,138
215.473,139
215.961,140
216.065,141
223.877,142
224.167,143
224.193,144
225.216,145
225.519,146
226.923,147
228.536,148
229.302,149
231.410,150
233.139,151
233.610,152
233.709,153
239.010,154
241.088,155
242.942,156
249.801,157
251.086,158
253.581,159
255.057,160
255.205,161
255.572,162
257.859,163
258.542,164
260.139,165
262.146,166
276.738,167
282.064,168
283.882,169
287.143,170
288.120,171
289.856,172
291.433,173
297.863,174
297.875,175
298.155,176
301.569,177
304.765,178
305.576,179
306.444,180
307.239,181
307.352,182
308.864,183
316.284,184
317.177,185
317.914,186
322.451,187
325.244,188
325.267,189
327.476,190
329.307,191
330.349,192
330.961,193
334.383,194
337.082,195
339.128,196
341.658,197
352.872,198
353.678,199
354.335,200
355.147,201
356.178,202
357.032,203
357.566,204
358.249,205
358.598,206
359.896,207
360.149,208
363.868,209
365.764,210
367.273,211
367.383,212
377.516,213
377.839,214
378.517,215
379.181,216
383.010,217
384.322,218
386.495,219
393.048,220
395.717,221
397.862,222
399.863,223
409.872,224
412.063,225
413.140,226
413.468,227
415.509,228
415.843,229
418.760,230
419.885,231
420.077,232
423.796,233
423.831,234
429.409,235
435.437,236
437.088,237
438.248,238
441.296,239
443.149,240
445.811,241
446.421,242
448.747,243
449.434,244
454.837,245
457.711,246
460.243,247
465.539,248
465.834,249
471.840,250
478.112,251
486.669,252
489.089,253
489.921,254
494.880,255
495.169,256
502.148,257
508.283,258
509.992,259
510.969,260
512.111,261
514.094,262
514.468,263
515.523,264
523.861,265
530.575,266
531.589,267
535.284,268
536.057,269
536.338,270
538.504,271
541.572,272
543.587,273
543.634,274
544.251,275
545.145,276
545.802,277
548.755,278
561.740,279
572.849,280
580.977,281
581.910,282
590.734,283
604.134,284
608.194,285
612.835,286
614.401,287
620.683,288
625.817,289
632.800,290
645.692,291
651.235,292
658.704,293
661.571,294
666.661,295
669.305,296
673.663,297
682.891,298
685.941,299
690.447,300
692.101,301
697.979,302
706.727,303
710.783,304
722.622,305
727.506,306
737.236,307
742.403,308
742.672,309
743.672,310
751.187,311
759.212,312
760.831,313
767.816,314
770.858,315
777.296,316
783.898,317
788.635,318
815.864,319
824.368,320
828.528,321
836.549,322
848.044,323
851.906,324
859.624,325
860.336,326
862.189,327
867.703,328
868.127,329
878.346,330
881.205,331
881.788,332
916.871,333
926.641,334
933.720,335
933.736,336
944.345,337
952.374,338
953.222,339
972.920,340
989.853,341
991.791,342
1006.682,343
1009.858,344
1010.039,345
1018.379,346
1035.396,347
1037.259,348
1065.683,349
1067.526,350
1072.192,351
1084.224,352
1087.515,353
1110.775,354
1124.183,355
1127.947,356
1133.156,357
1155.840,358
1159.141,359
1164.758,360
1165.838,361
1168.257,362
1181.731,363
1188.108,364
1193.771,365
1198.313,366
1229.667,367
1249.838,368
1256.450,369
1279.233,370
1306.648,371
1337.806,372
1369.388,373
1370.804,374
1395.114,375
1403.454,376
1416.422,377
1456.390,378
1462.093,379
1468.608,380
1468.867,381
1472.081,382
1494.234,383
1507.911,384
1520.919,385
1520.938,386
1528.475,387
1546.049,388
1547.168,389
1568.235,390
1582.041,391
1590.223,392
1610.479,393
1736.211,394
1765.005,395
1780.727,396
1782.636,397
1828.921,398
1838.335,399
1891.325,400
2030.475,401
2049.803,402
2059.197,403
2080.048,404
2107.376,405
2113.858,406
2139.996,407
2197.323,408
2197.913,409
2216.510,410
2217.200,411
2270.016,412
2288.006,413
2291.022,414
2313.569,415
2323.145,416
2386.524,417
2392.376,418
2401.241,419
2418.230,420
2423.322,421
2423.358,422
2505.984,423
2510.205,424
2530.475,425
2533.737,426
2535.344,427
2547.966,428
2549.705,429
2590.465,430
2591.331,431
2620.470,432
2641.351,433
2643.910,434
2646.653,435
2652.238,436
2697.271,437
2715.811,438
2726.254,439
2730.969,440
2740.018,441
2769.185,442
2771.059,443
2790.049,444
2791.391,445
2791.643,446
2811.898,447
2864.622,448
2897.907,449
2913.612,450
2924.702,451
2927.571,452
2954.249,453
2972.647,454
2984.737,455
3001.907,456
3012.490,457
3024.778,458
3060.428,459
3229.011,460
3244.356,461
3361.418,462
3408.129,463
3409.097,464
3515.969,465
3785.587,466
3890.543,467
3971.644,468
4043.507,469
4277.045,470
4532.078,471
