trail	original
457.524	416.444
583.821	3347.663
1726.776	2079.223
39.437	2915.039
1940.462	1950.505
453.878	328.326
1180.078	1305.35
1866.72	1615.104
1229.152	1360.797
1999.372	2507.34
740.244	784.672
1246.492	1249.566
144.778	35.107
6.974	7.176
959.923	1024.811
210.272	556.383
12.908	17.205
653.97	201.295
4.289	4.436
11.477	13.604
6.327	6.193
3.637	3.042
14.537	14.897
19.42	41.057
3.464	0.666
4.054	3.877
130.589	25.537
1.845	2.649
1.769	2.382
64.854	43.978
10.05	12.614
13.393	13.557
24.857	21.174
43.516	40.333
4.881	4.712
1635.377	409.82
894.705	923.373
1209.554	1191.845
23.631	98.329
274.747	142.014
4185.445	4247.328
210.37	58.252
881.686	731.397
161.238	173.382
1343.781	9.529
198.102	845.264
2647.066	2596.562
468.671	385.081
143.647	122.492
4.411	0.161
151.55	462.073
15.983	86.167
492.707	527.114
481.487	421.648
499.091	465.875
432.282	524.039
387.891	439.414
475.47	460.125
443.596	343.038
457.748	457.56
343.302	390.876
364.107	447.854
329.438	457.6
413.808	447.654
524.784	393.662
601.445	586.992
430.457	371.417
439.358	326.887
296.344	295.862
392.804	446.456
545.242	451.328
304.377	357.293
222.2	1007.427
2519.336	1250.507
595.904	1188.045
1136.142	1586.439
1413.504	2780.892
615.678	2231.056
91.294	104.043
4694.427	3393.892
4714.792	4337.626
492.509	264.974
140.625	316.734
326.391	27.627
81.551	82.811
111.524	99.576
171.577	811.937
388.645	120.773
690.099	682.766
87.423	78.329
2075.233	2051.14
138.871	106.031
27.794	32.444
83.849	93.53
171.392	60.166
88.486	83.26
387.391	248.338
638.428	1117.341
77.161	140.882
218.641	392.898
482.828	496.653
269.361	274.519
253.616	128.206
172.928	167.061
376.334	1629.774
7.009	6.147
135.897	122.334
893.114	729.825
4276.637	4366.112
180.667	183.584
1491.391	361.254
1241.133	126.201
3189.914	3103.141
145.159	131.436
172.781	76.373
1808.387	4048.107
940.028	3039.6
97.137	1341.609
139.464	369.037
2262.77	1779.682
348.739	366.02
128.518	108.361
705.884	1555.577
2461.145	2334.046
1296.584	1225.065
3848.29	3448.837
2326.454	2444.816
2258.514	2124.139
3640.146	3708.162
177.621	205.332
768.061	185.373
62.562	142.051
917.271	422.825
199.275	178.971
387.154	387.255
401.91	500.353
331.917	381.94
401.143	291.441
226.085	279.584
31.421	23.912
427.936	423.808
391.253	352.687
257.514	283.688
316.676	346.758
427.742	683.777
34.212	43.84
151.548	123.264
91.044	122.495
24.685	24.76
598.202	171.264
6.177	24.225
575.409	197.949
111.153	29.223
593.329	27.594
728.976	178.196
171.223	820.621
100.639	116.074
198.594	577.634
141.21	38.749
181.298	155.654
120.673	35.521
151.417	583.134
525.734	141.505
127.115	148.052
142.406	119.607
318.898	379.576
96.502	102.554
144.852	119.483
181.196	182.593
125.085	132.089
146.175	161.088
63.572	67.134
306.197	278.732
292.14	501.078
3392.045	3657.465
765.102	781.201
15.729	17.511
21.08	19.177
3465.204	3216.149
523.182	565.261
88.733	81.828
4.269	3.584
3453.917	3288.93
3923.069	3172.968
76.357	73.532
210.409	242.721
69.135	70.884
1.265	43.281
78.393	64.942
67.485	71.881
75.516	71.934
66.806	71.924
74.871	82.39
74.901	69.729
142.017	188.654
27.613	29.01
1.188	1.291
187.567	165.038
315.257	313.859
194.881	262.413
1.254	1.08
1.275	1.261
10.924	13.756
49.898	48.765
1.188	1.299
18.423	18.204
0.898	0.936
0.407	0.401
35.659	33.278
1.737	1.668
6.569	5.865
3.737	3.721
0.965	1.072
82.779	131.704
419.995	422.976
1979.201	2180.464
1772.177	2133.045
136.383	116.242
1172.173	1208.459
660.332	543.987
113.261	96.948
1501.084	1845.716
732.694	666.668
