original_time,index
1.101,5
1.405,10
2.146,15
3.110,20
4.145,25
4.987,30
7.980,35
8.885,40
11.469,45
12.531,50
14.217,55
17.932,60
22.955,65
26.920,70
32.064,75
35.036,80
40.980,85
45.128,90
50.822,95
52.970,100
62.915,105
68.081,110
73.421,115
76.998,120
90.754,125
98.345,130
102.796,135
109.990,140
117.050,145
121.458,150
128.456,155
138.892,160
144.392,165
153.941,170
168.027,175
183.008,180
198.876,185
204.948,190
214.738,195
227.858,200
230.277,205
247.433,210
264.620,215
270.164,220
295.595,225
310.655,230
331.831,235
341.791,240
356.592,245
366.820,250
381.638,255
413.152,260
438.730,265
441.837,270
476.794,275
496.199,280
503.530,285
521.912,290
539.661,295
553.682,300
563.053,305
570.871,310
585.235,315
613.401,320
624.529,325
643.970,330
684.768,335
713.000,340
732.314,345
772.636,350
819.895,355
863.821,360
934.300,365
972.937,370
1029.215,375
1108.690,380
1134.602,385
1179.026,390
1215.813,395
1251.196,400
1289.646,405
1327.988,410
1426.279,415
1502.244,420
1577.776,425
1665.384,430
1769.499,435
1896.230,440
1949.480,445
2004.372,450
2092.015,455
2175.167,460
2239.716,465
2308.568,470
2460.258,475
2621.472,480
2869.608,485
3024.867,490
3212.284,495
3404.324,500
3543.219,505
3756.005,510
4044.410,515
4424.148,520
4810.988,525
