original_time,index
0.985,5
1.254,10
1.376,15
2.845,20
3.944,25
5.273,30
7.353,35
11.363,40
12.526,45
14.972,50
18.630,55
20.828,60
26.043,65
28.306,70
31.460,75
40.527,80
44.061,85
53.800,95
56.534,100
62.536,105
69.266,110
73.771,115
75.649,120
81.630,125
87.684,130
93.203,135
105.241,140
108.818,145
118.583,150
124.385,155
136.624,160
141.963,165
154.186,170
158.842,175
173.012,180
176.347,185
185.851,190
204.270,195
220.405,200
235.408,205
257.341,210
268.591,215
282.506,220
292.601,225
306.412,230
314.742,235
322.058,240
339.454,245
354.292,250
364.423,255
390.941,260
405.236,265
426.915,270
439.445,275
453.735,280
462.768,285
485.577,290
496.653,295
517.747,300
536.764,305
573.143,310
592.337,315
602.962,320
611.042,325
622.964,330
647.283,335
682.820,340
693.570,345
739.314,350
765.939,355
802.528,360
826.219,365
839.257,370
893.493,375
983.044,380
1065.994,385
1142.447,390
1174.348,395
1238.596,400
1265.898,405
1352.151,410
1392.789,415
1557.437,420
1599.879,425
1621.505,430
1776.819,435
1879.303,440
1985.967,445
2215.616,450
2308.235,455
2405.399,460
2533.910,465
2726.399,470
2898.271,475
3034.192,480
3167.711,485
3301.995,490
3559.555,495
3774.572,500
3912.545,505
4055.530,510
4327.638,515
4619.847,520
