original_time,index
1.186,5
1.248,10
1.702,15
2.485,20
3.861,25
4.641,30
6.461,35
9.482,40
10.312,45
11.320,50
14.004,55
21.712,60
25.589,65
28.179,70
32.286,75
38.000,80
44.004,85
46.324,90
51.559,95
55.521,100
59.627,105
69.137,110
72.778,115
77.124,120
78.926,125
88.459,130
93.757,135
107.137,140
117.230,145
119.030,150
130.016,155
147.041,160
157.241,165
165.730,170
173.877,175
183.956,180
194.789,185
201.751,190
212.834,195
218.956,200
229.812,205
261.886,210
282.297,215
296.032,220
307.342,225
322.734,230
345.307,235
357.721,240
381.346,245
403.614,250
422.420,255
441.677,260
451.586,265
475.177,270
482.460,275
503.459,280
518.736,285
532.223,290
542.937,295
550.182,300
568.993,305
588.801,310
605.439,315
623.336,320
640.830,325
677.150,330
704.014,335
739.831,340
782.372,345
832.034,350
905.147,355
964.103,360
992.688,365
1038.667,370
1081.005,375
1154.516,380
1175.315,385
1231.447,390
1257.809,395
1275.563,400
1348.394,405
1440.799,410
1513.972,415
1588.326,420
1648.897,425
1731.275,430
1784.908,435
1849.416,440
1998.771,445
2040.142,450
2300.084,455
2399.514,460
2509.768,465
2593.355,470
2693.998,475
2857.726,480
2972.796,485
3318.487,490
3437.047,495
3623.280,500
3790.909,505
4029.870,510
4338.949,515
4579.974,520
4763.468,525
