original_time,index
2.830,5
4.374,10
12.760,15
19.944,20
26.931,25
33.464,30
41.190,35
44.464,40
49.181,45
52.280,50
56.783,55
59.135,60
67.842,65
73.095,70
83.582,75
100.047,80
105.803,85
118.781,90
123.430,95
135.389,100
143.814,105
155.335,110
160.797,115
168.154,120
182.586,125
188.217,130
198.703,135
203.350,140
213.491,145
233.887,150
241.881,155
259.862,160
269.981,165
274.690,170
281.504,175
292.850,180
299.808,185
308.147,190
339.711,195
350.458,200
359.859,205
370.804,210
380.116,215
400.163,220
413.410,225
420.165,230
442.906,235
450.018,240
461.076,245
474.905,250
483.869,255
498.288,260
507.501,265
532.779,270
543.264,275
553.328,280
573.297,285
585.920,290
603.362,295
635.779,300
657.043,305
667.283,310
674.279,315
698.378,320
736.193,325
749.382,330
796.455,335
816.619,340
853.062,345
876.794,350
922.978,355
987.352,360
1018.663,365
1060.324,370
1117.247,375
1186.100,380
1262.551,385
1313.911,390
1357.508,395
1427.246,400
1488.000,405
1599.140,410
1682.187,415
1865.198,420
2143.914,425
2228.536,430
2382.580,435
2604.836,440
2697.119,445
2862.713,450
3213.751,455
3528.965,460
3939.459,465
4576.757,470
