original_time,index
2.926,5
5.943,10
14.513,15
17.768,20
23.283,25
26.824,30
29.465,35
32.115,40
35.578,45
40.351,50
43.707,55
50.067,60
54.166,65
71.677,75
77.625,80
92.843,85
99.267,90
105.822,95
115.329,100
126.767,105
130.063,110
136.025,115
138.181,120
152.593,125
174.436,130
177.461,135
186.382,140
191.393,145
195.988,150
205.093,155
221.539,160
231.033,165
238.099,170
247.851,175
262.801,180
269.012,185
277.412,190
288.795,195
297.376,200
317.336,205
345.290,210
355.347,215
362.114,220
383.361,225
399.741,230
409.872,235
416.263,240
423.630,245
433.257,250
443.385,255
460.240,260
474.001,265
486.408,270
490.704,275
506.854,280
522.336,285
533.066,290
544.900,295
605.677,300
633.311,305
660.683,310
677.763,315
688.443,320
724.634,325
798.559,330
810.997,335
840.174,340
867.497,345
944.364,350
978.522,355
1002.069,360
1111.951,365
1172.624,370
1247.471,375
1293.042,380
1302.442,385
1339.973,390
1391.656,395
1435.797,400
1493.309,405
1561.109,410
1711.643,415
1817.354,420
1924.857,425
2060.183,430
2293.148,435
2414.288,440
2546.599,445
2686.301,450
2767.729,455
3049.309,460
3625.815,465
3973.264,470
4113.620,475
4573.284,480
4959.772,485
