original_time,index
3.059,5
4.108,10
14.760,15
17.295,20
21.079,25
28.121,30
31.460,35
36.167,40
40.550,45
46.274,50
50.143,55
64.647,65
70.451,70
73.439,75
79.617,80
93.310,85
109.343,90
114.505,95
121.217,100
129.504,105
135.221,110
142.282,115
158.378,120
164.333,125
176.579,130
184.363,135
190.953,140
198.914,145
209.096,150
218.636,155
231.374,160
236.311,165
247.445,170
255.989,175
265.204,180
278.603,185
297.632,190
305.689,195
317.470,200
329.991,205
342.821,210
354.643,215
374.584,220
383.636,225
389.232,230
401.915,235
411.601,240
422.028,245
439.156,250
449.319,255
452.237,260
469.537,265
487.041,270
511.290,275
521.733,280
554.226,285
589.930,290
602.745,295
632.086,300
643.608,305
671.340,310
689.781,315
716.671,320
751.868,325
785.619,330
798.815,335
839.893,340
876.759,345
934.773,350
973.211,355
1009.885,360
1045.420,365
1058.921,370
1113.443,375
1185.330,380
1274.666,385
1328.719,390
1395.974,395
1446.218,400
1521.238,405
1620.062,410
1788.505,415
1848.055,420
2160.217,425
2296.780,430
2456.704,435
2549.293,440
2749.121,445
2833.601,450
3068.965,455
3369.012,460
3622.350,465
3938.548,470
4179.477,475
