original_time,index
2.474,5
4.845,10
12.174,15
20.194,20
27.152,25
31.122,30
34.920,35
39.734,40
47.104,45
50.243,50
61.961,55
70.099,60
76.578,65
83.540,70
97.313,75
110.541,80
122.039,85
125.228,90
131.123,95
143.918,100
153.069,105
160.127,110
174.211,115
187.687,125
196.770,130
206.341,135
211.678,140
223.895,145
234.917,150
240.995,155
257.660,160
266.382,165
277.811,170
281.589,175
288.939,180
295.269,185
297.806,190
319.594,195
324.826,200
330.832,205
340.733,210
346.015,215
351.181,220
362.847,225
384.616,230
414.043,235
421.038,240
444.102,245
451.941,250
461.086,255
471.173,260
484.316,265
506.501,270
526.092,275
550.108,280
569.379,285
591.926,290
622.268,295
641.516,300
663.384,305
687.353,310
714.028,315
762.444,320
806.915,325
823.310,330
852.363,335
896.411,340
991.602,345
1094.070,350
1119.214,355
1178.652,360
1246.597,365
1383.469,370
1398.665,375
1457.923,380
1540.564,385
1632.893,390
1797.996,395
2014.556,400
2169.864,405
2193.080,410
2372.125,415
2525.784,420
2571.525,425
2602.185,430
2663.409,435
2707.988,440
2755.280,445
2787.018,450
2887.227,455
3055.173,460
3812.674,465
4098.416,470
4556.067,475
